iter	Passed	Remaining
0	3	391
1	7	373
2	10	353
3	13	334
4	16	322
5	20	317
6	23	313
7	27	314
8	30	312
9	34	308
10	37	307
11	40	300
12	44	296
13	47	291
14	50	286
15	54	284
16	57	281
17	60	277
18	64	274
19	67	270
20	71	268
21	74	263
22	77	259
23	80	253
24	82	247
25	85	243
26	88	238
27	90	233
28	93	229
29	97	226
30	99	221
31	102	217
32	104	212
33	107	209
34	110	204
35	112	200
36	115	196
37	118	192
38	120	188
39	122	184
40	125	180
41	127	176
42	130	172
43	132	169
44	136	166
45	139	163
46	142	160
47	144	156
48	147	153
49	150	150
50	152	146
51	155	143
52	158	140
53	160	137
54	163	133
55	166	130
56	168	127
57	171	124
58	173	120
59	176	117
60	178	114
61	181	111
62	184	108
63	186	105
64	189	101
65	192	99
66	194	95
67	197	92
68	199	89
69	202	86
70	205	83
71	208	80
72	211	78
73	213	75
74	216	72
75	218	69
76	221	66
77	223	63
78	226	60
79	228	57
80	231	54
81	233	51
82	236	48
83	239	45
84	241	42
85	244	39
86	247	36
87	249	34
88	252	31
89	254	28
90	257	25
91	259	22
92	262	19
93	265	16
94	269	14
95	272	11
96	274	8
97	277	5
98	279	2
99	282	0
