,Dow Jones,Dow Jones,S&P 500,S&P 500,NASDAQ,NASDAQ
,Close,Change %,Close,Change %,Close,Change %
Date,,,,,,
2014-12-23 00:00:00-05:00,18024.16992,0.360425886,2082.169922,0.174636175,4765.419922,-0.33462863
2014-12-24 00:00:00-05:00,18030.21094,0.033516193,2081.879883,-0.013929654,4773.470215,0.16893145
2014-12-26 00:00:00-05:00,18053.71094,0.1303368,2088.77002,0.330957457,4806.859863,0.699483749
2014-12-29 00:00:00-05:00,18038.23047,-0.085746741,2090.570068,0.086177454,4806.910156,0.001046275
2014-12-30 00:00:00-05:00,17983.07031,-0.305795828,2080.350098,-0.488860472,4777.439941,-0.613080209
2014-12-31 00:00:00-05:00,17823.07031,-0.88972571,2058.899902,-1.031085842,4736.049805,-0.866366448
2015-01-02 00:00:00-05:00,17832.99023,0.055657761,2058.199951,-0.033996367,4726.810059,-0.195093939
2015-01-05 00:00:00-05:00,17501.65039,-1.858016179,2020.579956,-1.827810515,4652.569824,-1.570620216
2015-01-06 00:00:00-05:00,17371.64063,-0.74284289,2002.609985,-0.889347172,4592.740234,-1.285947167
2015-01-07 00:00:00-05:00,17584.51953,1.225439271,2025.900024,1.162984267,4650.470215,1.256983359
2015-01-08 00:00:00-05:00,17907.86914,1.838831074,2062.139893,1.788828063,4736.189941,1.843248588
2015-01-09 00:00:00-05:00,17737.36914,-0.952095409,2044.810059,-0.840381103,4704.069824,-0.678184735
2015-01-12 00:00:00-05:00,17640.83984,-0.544214286,2028.26001,-0.809368516,4664.709961,-0.836719368
2015-01-13 00:00:00-05:00,17613.67969,-0.15396181,2023.030029,-0.257855524,4661.5,-0.06881373
2015-01-14 00:00:00-05:00,17427.08984,-1.059346185,2011.27002,-0.581306733,4639.319824,-0.475816278
2015-01-15 00:00:00-05:00,17320.71094,-0.610422665,1992.670044,-0.924787592,4570.819824,-1.476509544
2015-01-16 00:00:00-05:00,17511.57031,1.101914209,2019.420044,1.34241994,4634.379883,1.390561454
2015-01-20 00:00:00-05:00,17515.23047,0.020901359,2022.550049,0.154995237,4654.850098,0.441703429
2015-01-21 00:00:00-05:00,17554.2793,0.222942131,2032.119995,0.473162397,4667.419922,0.270037143
2015-01-22 00:00:00-05:00,17813.98047,1.479418024,2063.149902,1.526972192,4750.399902,1.777855472
2015-01-23 00:00:00-05:00,17672.59961,-0.793651142,2051.820068,-0.549152244,4757.879883,0.157460016
2015-01-26 00:00:00-05:00,17678.69922,0.0345145,2057.090088,0.256846086,4771.759766,0.291724111
2015-01-27 00:00:00-05:00,17387.21094,-1.648810683,2029.550049,-1.338786241,4681.5,-1.891540439
2015-01-28 00:00:00-05:00,17191.36914,-1.126355444,2002.160034,-1.349560937,4637.990234,-0.929397963
2015-01-29 00:00:00-05:00,17416.84961,1.311591107,2021.25,0.953468529,4683.410156,0.979301801
2015-01-30 00:00:00-05:00,17164.94922,-1.44630284,1994.98999,-1.299196525,4635.240234,-1.028522386
2015-02-02 00:00:00-05:00,17361.03906,1.142385225,2020.849976,1.296246371,4676.689941,0.894229963
2015-02-03 00:00:00-05:00,17666.40039,1.758888549,2050.030029,1.443949529,4727.740234,1.091590283
2015-02-04 00:00:00-05:00,17673.01953,0.037467398,2041.51001,-0.415604621,4716.700195,-0.233516194
2015-02-05 00:00:00-05:00,17884.88086,1.198783987,2062.52002,1.029140669,4765.100098,1.026139045
